DATE,QUANT
2018-01-01,3789
2018-02-01,3789
2018-03-01,4432
2018-04-01,4139
2018-05-01,4699
2018-06-01,4738
2018-07-01,4760
2018-08-01,4697
2018-09-01,4418
2018-10-01,4559
2018-11-01,4932
2018-12-01,6137
2019-01-01,3944
2019-02-01,3929
2019-03-01,4462
2019-04-01,4375
2019-05-01,4881
2019-06-01,4789
2019-07-01,5013
2019-08-01,5036
2019-09-01,4467
2019-10-01,4688
2019-11-01,5066
2019-12-01,6332
2020-01-01,4178
2020-02-01,4301
2020-03-01,5224
2020-04-01,4905
2020-05-01,5909
2020-06-01,5734
2020-07-01,6055
2020-08-01,5759
2020-09-01,5527
2020-10-01,5704
2020-11-01,5732
2020-12-01,7282
2021-01-01,5031
2021-02-01,4910
2021-03-01,5658
2021-04-01,5645
2021-05-01,6016
2021-06-01,5986
2021-07-01,6162
2021-08-01,5701
2021-09-01,5572
2021-10-01,5761
2021-11-01,6021
2021-12-01,7701
2022-01-01,4939
2022-02-01,5057
2022-03-01,5590
2022-04-01,5710
2022-05-01,5919
2022-06-01,6038
2022-07-01,6230
